n,comparisons,time,sorter,profile
12500,209621,25,Quick,Ascending
25000,450775,16,Quick,Ascending
50000,997554,32,Quick,Ascending
100000,2114504,67,Quick,Ascending
12500,213237,17,QuickNonRecursive,Ascending
25000,457719,14,QuickNonRecursive,Ascending
50000,981891,31,QuickNonRecursive,Ascending
100000,2089032,56,QuickNonRecursive,Ascending
12500,179665,7,QuickCut,Ascending
25000,416226,11,QuickCut,Ascending
50000,876774,21,QuickCut,Ascending
100000,1856215,48,QuickCut,Ascending
12500,201822,4,QuickMedOfThree,Ascending
25000,443592,11,QuickMedOfThree,Ascending
50000,971643,31,QuickMedOfThree,Ascending
100000,2072759,64,QuickMedOfThree,Ascending
12500,345511,23,QuickThreePartition,Ascending
25000,774249,34,QuickThreePartition,Ascending
50000,1693082,53,QuickThreePartition,Ascending
100000,3487887,117,QuickThreePartition,Ascending
12500,215670,4,Quick,Descending
25000,453331,9,Quick,Descending
50000,980665,21,Quick,Descending
100000,2113908,52,Quick,Descending
12500,213994,5,QuickNonRecursive,Descending
25000,469900,12,QuickNonRecursive,Descending
50000,984138,25,QuickNonRecursive,Descending
100000,2101653,51,QuickNonRecursive,Descending
12500,188856,4,QuickCut,Descending
25000,393192,10,QuickCut,Descending
50000,888372,22,QuickCut,Descending
100000,1865513,46,QuickCut,Descending
12500,202688,5,QuickMedOfThree,Descending
25000,450020,10,QuickMedOfThree,Descending
50000,958468,32,QuickMedOfThree,Descending
100000,2093909,61,QuickMedOfThree,Descending
12500,354224,13,QuickThreePartition,Descending
25000,771868,36,QuickThreePartition,Descending
50000,1615234,60,QuickThreePartition,Descending
100000,3522460,126,QuickThreePartition,Descending
12500,214408,4,Quick,Random
25000,448883,13,Quick,Random
50000,974670,35,Quick,Random
100000,2073437,69,Quick,Random
12500,209794,6,QuickNonRecursive,Random
25000,455625,14,QuickNonRecursive,Random
50000,977303,39,QuickNonRecursive,Random
100000,2101669,71,QuickNonRecursive,Random
12500,184584,5,QuickCut,Random
25000,395745,12,QuickCut,Random
50000,866630,28,QuickCut,Random
100000,1873890,69,QuickCut,Random
12500,196338,7,QuickMedOfThree,Random
25000,447418,15,QuickMedOfThree,Random
50000,961694,35,QuickMedOfThree,Random
100000,2115682,71,QuickMedOfThree,Random
12500,350466,12,QuickThreePartition,Random
25000,772353,29,QuickThreePartition,Random
50000,1609978,63,QuickThreePartition,Random
100000,3569284,147,QuickThreePartition,Random
